row,col,beat,Coverage Width-Based Criterion
15,3,2432,0.13115468409586062
15,4,2433,0.16666666666666685
15,5,2511,0.5
15,6,2512,0.27863128401852005
15,7,2513,0.6666666666666667
15,8,2514,0.46770630279402226
15,9,2515,0.33333333333333337
15,10,2521,0.14780521262002722
15,11,2522,0.33333333333333337
15,12,2523,0.5
15,13,2524,0.6318636096413873
15,14,2525,0.6526748971193416
15,15,2531,0.5
15,16,2532,0.5
16,0,2533,0.15493827160493823
16,1,2534,0.30697167755991295
16,2,2535,0.33300427774967073
